days_from_first_case,nr_cases
1,1
2,1
3,5
4,6
5,11
6,17
7,22
8,31
9,51
10,68
11,104
12,125
13,177
14,238
15,287
16,355
17,425
18,536
19,634
20,749
21,900
22,1051
23,1221
24,1389
25,1638
26,1862
27,2055
28,2311
29,2554
30,2946
31,3383
32,3627
33,4102
34,4413
35,4848
36,5205
37,5575
38,5955
39,6356
40,6674
41,6934
42,7202
43,7582
44,7918
45,8379
46,8742
47,9287
48,9593
49,9856
50,10169
51,10511
52,10892
53,11273
54,11617
55,11902
56,12218
57,12640
58,12877
59,13105
60,13375
61,13693
62,14006
63,14431
64,14740
65,15047
66,15366
67,15510
68,15996
69,16326
70,16921
71,17204
72,17615
73,18016
74,18184
75,18529
76,18885
77,19268
78,19739
79,20143
80,20615
81,20931
82,21326
83,21631
84,22074
85,22473
86,22825
87,23155
88,23571
89,23786
90,24165
91,24395
92,24687
93,25048
94,25410
95,25986
96,26561
97,27160
98,27560
99,27842
100,28201
101,28577
102,29017
103,29392
104,29788
105,30195
106,30701
107,31015
108,31316
109,31620
110,31931
111,32227
112,32527
113,32821
114,33119
115,33395
116,33714
117,33907
118,34154
119,34393
120,34775
121,35146
122,35405
123,35710
124,35950
125,36155
126,36412
127,36689
128,36951
129,37216
130,37521
131,37891
132,38457
133,38721
134,39054
135,39407
136,39746
137,40104
138,40383
139,40782
140,41162
141,41580
142,42038
143,42622
144,43065
145,43402
146,43904
147,44416
148,45031
149,45688
150,46346
151,46894
152,47469
153,48149
154,48789
155,50324
156,51167
157,51791
158,52410
159,52961
160,53676
161,54487
162,55312
163,56090
164,56684
165,57279
166,57876
167,58611
168,59378
169,60281
170,61181
171,61762
172,62310
173,63073
174,63802
175,64689
176,65480
177,66239
178,67372
179,67922
180,68517
181,69129
182,69820
183,70387
184,70824
185,71126
186,71526
187,71947
188,72453
189,73047
190,73650
191,74152
192,74529
193,75134
194,75734
195,76571
196,77328
197,78330
198,79240
199,79988
200,80699
201,81673
202,82809
203,84396
204,85980
205,87330
206,88636
207,89962
208,91514
209,93481
210,95773
211,98140
212,100074
213,102080
214,104316
215,107319
216,111599
217,116338
218,121638
219,125816
220,130210
221,135278
222,141804
223,149903
224,157608
225,167230
226,175766
227,183248
228,192539
229,202579
230,214686
231,228318
232,253688
233,263929
234,280229
235,299049
236,319205
237,340834
238,362731
239,379902
240,395480
241,414844
242,439536
243,466679
244,493765
245,521640
246,546425
247,568138
248,593592
249,618813
250,641496
251,665547
252,712972
253,733788
254,752940
255,772823
256,796798
257,819262
258,843475
259,861331
260,876333
261,909066
262,924422
263,941112
264,958416
265,973593
266,985075
267,990811
268,999924
269,1013747
270,1028610
271,1041846
272,1054273
273,1063449
274,1067870
275,1076180
276,1088346 
277,1102096
278,1115201
279,1126700
280,1135676 
281,1140572
282,1147446
283,1159901
284,1171854
285,1182864
286,1194110
287,1202700
288,1207333
289,1214525
290,1226883
291,1239998
292,1249079
293,1253957
294,1257799
295,1261010
296,1268634
297,1281414
298,1294878
299,1305774
300,1312780
301,1318562
302,1322947
303,1330543
304,1344763
305,1356882
306,1365645
307,1376389
308,1385522
309,1390385
310,1395779
311,1404905
312,1414362
313,1422320
314,1429612
315,1435582
316,1438914
317,1443804
318,1450747
319,1457755
320,1464448
321,1470879
322,1475445
323,1478119
324,1482722
325,1489512
326,1496665
327,1502810
328,1508674
329,1513385
330,1515889
331,1520215
332,1527016
333,1533511
334,1539564
335,1545530
336,1550255
337,1552686
338,1556685
339,1563645
340,1570658
341,1583621
342,1588955
343,1591497
344,1596673
345,1605372
346,1614446
347,1623218
348,1631727
349,1638767
350,1642658
351,1648962
352,1661109
353,1673252
354,1684788
355,1696885
356,1706986
357,1711772
358,1719708
359,1735406
360,1750659
361,1766490
362,1781345
363,1794914
364,1801083
365,1811036
366,1828313 
367,1849424
368,1868297
369,1889360
370,1906632
371,1917527
372,1917527
373,1956974
374,1984248
375,2010244
376,2036700
377,2058550
378,2073129
379,2089869
380,2120671
381,2154821
382,2189966
383,2221725
384,2250991
385,2267964
386,2288826
387,2321717
388,2356970
389,2387511
390,2415584
391,2438542
392,2448463
393,2456709
394,2471617
395,2499507
396,2528006
397,2552898
398,2574631
399,2586647
400,2599850
401,2621116
402,2642242
403,2660088
404,2675874
405,2688025
406,2695327
407,2704571
408,2718493
409,2731256
410,2742122
411,2751632
412,2758856
413,2762323
414,2768034
415,2776927
416,2785353
417,2792142
418,2798617
419,2803233
420,2803233
421,2808052
422,2811951
423,2818378
424,2824425
425,2829196
426,2833052
427,2835083
428,2838180
429,2842339
430,2845762
431,2849014
432,2851911
433,2854079
434,2855190
435,2856924
436,2859261
437,2861351
438,2863031
439,2864546
440,2865622
441,2866181
442,2867187
443,2868450
445,2869652
446,2870595
447,2871371
448,2871950
